U[V],I [mA],R[Ohm],I - zakres,U - zakres,R - zakres
3.27,23.4,24.4,200mA,20V,200 Ohm
4.75,29.1,,200mA,20V,
6.31,34.4,,200mA,20V,
7.85,39.2,,200mA,20V,
9.54,43.9,,200mA,20V,
12.39,51.3,,200mA,20V,
