Rpt100[Ohm],Rtherm[kOhm],epsil[mV]
134.375,0.93415,2.572
132.840,1.06369,2.385
131.88,1.15377,2.27
131.072,1.24194,2.174
130.321,1.3200,2.087
129.619,1.40206,2.004
129.035,1.47559,1.935
128.476,1.54648,1.872
127.899,1.62644,1.807
127.417,1.70171,1.752
126.976,1.76905,1.719
126.557,1.83385,1.684
126.181,1.90023,1.65
