U[V],I[mA],U_range[V],I_range[mA],u(U)[V],u(I)[mA]
1.5,0,1,2,0.016,0.0010
1.552,0.001,1,2,0.016,0.0010
1.602,0.002,1,2,0.016,0.0010
1.651,0.008,1,2,0.017,0.0011
1.703,0.03,1,2,0.017,0.0012
1.75,0.087,1,2,0.018,0.0080
1.8,0.256,1,2,0.018,0.0030
1.85,0.764,1,2,0.019,0.0071
1.9,2.24,1,20,0.019,0.019
1.95,5.41,1,20,0.020,0.044
2,10.73,1,20,0.020,0.087
2.05,18.7,1,20,0.020,0.15
2.108,28.3,1,20,0.021,0.23
