U[V],I[mA],U_range[V],I_range[mA],u(U)[V],u(I)[mA]
1.45,0,1,2,0.015,0.0010
1.506,0.001,1,2,0.016,0.0010
1.552,0.004,1,2,0.016,0.0010
1.6,0.011,1,2,0.016,0.0011
1.651,0.034,1,2,0.017,0.0013
1.703,0.096,1,2,0.017,0.0018
1.751,0.248,1,2,0.018,0.0030
1.801,0.594,1,2,0.018,0.0058
1.85,1.347,1,2,0.019,0.012
1.901,3.24,1,20,0.019,0.027
1.95,7.31,1,20,0.020,0.059
1.999,15.92,1,20,0.020,0.13
2.039,29,1,200,0.020,0.35
