U[V],I[mA],U_range[V],I_range[mA],u(U)[V],u(I)[mA]
1.45,0,1,2,0.015,0.0010
1.502,0.001,1,2,0.016,0.0010
1.601,0.01,1,2,0.016,0.0011
1.649,0.032,1,2,0.017,0.0013
1.7,0.118,1,2,0.017,0.0019
1.75,0.415,1,2,0.018,0.0043
1.8,1.229,1,2,0.018,0.011
1.852,3.02,1,20,0.019,0.025
1.9,5.97,1,20,0.019,0.049
1.949,10.71,1,20,0.020,0.087
2,18.09,1,20,0.020,0.15
