Mode,Time(s),Value
CAP,98.0579299927,1.702088E-10
CAP,98.4590225220,1.701786E-10
CAP,98.8597412109,1.702139E-10
CAP,99.2603759766,1.702095E-10
CAP,99.6611099243,1.702110E-10
CAP,100.0618133545,1.702294E-10
CAP,100.4625396729,1.701651E-10
CAP,100.8632507324,1.702014E-10
CAP,101.2639389038,1.702088E-10
CAP,101.6648101807,1.701581E-10
CAP,102.0654296875,1.701731E-10
CAP,102.4660949707,1.701956E-10
CAP,102.8668518066,1.701581E-10
CAP,103.2677230835,1.701680E-10
CAP,103.6685562134,1.701827E-10
CAP,104.0694274902,1.701702E-10
CAP,104.4702529907,1.701706E-10
CAP,104.8708953857,1.702047E-10
CAP,105.2715225220,1.701389E-10
CAP,105.6723709106,1.702463E-10
CAP,106.0730361938,1.703294E-10
CAP,106.4737777710,1.700662E-10
CAP,106.8745651245,1.700082E-10
CAP,107.2752609253,1.702228E-10
CAP,107.6760177612,1.701070E-10
CAP,108.0767135620,1.702092E-10
CAP,108.4774322510,1.702051E-10
CAP,108.8782882690,1.701695E-10
CAP,109.2789611816,1.701871E-10
CAP,109.6822128296,1.701485E-10
CAP,110.0803527832,1.701297E-10
CAP,110.4810714722,1.701650E-10
CAP,110.8818130493,1.701305E-10
CAP,111.2825698853,1.701492E-10
CAP,111.6833572388,1.701188E-10
CAP,112.0841445923,1.701434E-10
CAP,112.4848861694,1.701794E-10
CAP,112.8855895996,1.701287E-10
CAP,113.2861557007,1.701411E-10
CAP,113.6896896362,1.701386E-10
CAP,114.0903701782,1.701122E-10
CAP,114.4909896851,1.701379E-10
CAP,114.8916244507,1.701243E-10
CAP,115.2924270630,1.701217E-10
CAP,115.6930847168,1.701338E-10
CAP,116.0938796997,1.701210E-10
CAP,116.4945220947,1.701389E-10
CAP,116.8953704834,1.701732E-10
CAP,117.2961502075,1.701338E-10
CAP,117.6995697021,1.701305E-10
CAP,118.1002044678,1.701309E-10
CAP,118.5010452271,1.701276E-10
CAP,118.9017944336,1.701276E-10
CAP,119.3026657104,1.701287E-10
CAP,119.7033538818,1.701335E-10
CAP,120.1039886475,1.701095E-10
CAP,120.5047378540,1.700850E-10
CAP,120.9055175781,1.701155E-10
CAP,121.3063735962,1.701287E-10
CAP,121.7070236206,1.701698E-10
CAP,122.1077575684,1.701184E-10
CAP,122.5085296631,1.701412E-10
CAP,122.9092864990,1.700901E-10
CAP,123.3100509644,1.701099E-10
CAP,123.7164764404,1.701353E-10
CAP,124.1172332764,1.701136E-10
CAP,124.5197296143,1.701004E-10
CAP,124.9204864502,1.701257E-10
CAP,125.3212051392,1.701393E-10
CAP,125.7220535278,1.700912E-10
CAP,126.1227874756,1.701665E-10
CAP,126.5235824585,1.701206E-10
CAP,126.9242935181,1.701070E-10
CAP,127.3251647949,1.700805E-10
CAP,127.7259292603,1.701037E-10
CAP,128.1267089844,1.701375E-10
CAP,128.5274810791,1.701302E-10
CAP,128.9282226562,1.701309E-10
CAP,129.3290710449,1.701074E-10
CAP,129.7298431396,1.701687E-10
CAP,130.1305236816,1.701122E-10
CAP,130.5313415527,1.700512E-10
CAP,130.9326171875,1.701136E-10
CAP,131.3328094482,1.701114E-10
CAP,131.7336425781,1.701022E-10
