T,L,uT,uL,L0,uL0
0,0,0.133977862,0.577350269,0,6.59829E-07
1.8,2,0.134117737,0.577350269,2.28571E-06,6.59856E-07
6.5,9,0.134491747,0.577350269,1.02857E-05,6.60387E-07
13.5,18,0.135072129,0.577350269,2.05714E-05,6.62059E-07
22.3,30,0.135840887,0.577350269,3.42857E-05,6.66005E-07
33.9,45,0.136919684,0.577350269,5.14286E-05,6.73646E-07
46.3,58,0.138153345,0.577350269,6.62857E-05,6.82628E-07
58.8,73,0.139478914,0.577350269,8.34286E-05,6.956E-07
74.3,89,0.141233424,0.577350269,0.000101714,7.1235E-07
87.2,107,0.142784129,0.577350269,0.000122286,7.34535E-07
105.7,143,0.145145915,0.577350269,0.000163429,7.88307E-07
125.9,160,0.147901995,0.577350269,0.000182857,8.17493E-07
