T0,I [A],U[V],P[W],uP true,Temp,Delta T
150,0,0,0,0,25.5,124.5
,0.2,0.8,0.16,0.048,26.5,123.5
,0.4,1.7,0.68,0.11,29.3,120.7
,0.6,2.6,1.56,0.16,33.6,116.4
,0.8,3.4,2.72,0.21,39,111
,1,4.3,4.3,0.26,46.6,103.4
,1.2,5.1,6.12,0.31,53.5,96.5
,1.4,5.9,8.26,0.35,63.8,86.2
,1.6,6.7,10.72,0.4,74,76
,1.8,7.5,13.5,0.45,86,64
,2,8.2,16.4,0.49,96,54
,2.2,9.2,20.24,0.55,107.7,42.3
