f[Hz],Vopt,Vupper,Voscy,RMS
5,9.99,7.3,17,6.010
10,7.25,6.7,19.4,6.859
100,7.04,6.9,20.8,7.354
1000,7.03,6.8,20.2,7.142
100000,29.5,0,20.2,7.142
500000,7.3,5.8,20.2,7.142
