,,,,,
10,10.057,0.0010,0.21,0.12,0.057
2.2,2.278,0.11,0.21,0.14,0.078
100,99.194,5.0,0.21,2.9,0.806
6800,6727.3,340,0.39,200,72.7
220000,221750,11000,11,6400,1750
