,,,
Opornik wzorcowy,10.057,100,0.21
Radiator,2.278,100,0.21
Płytka rezystor 1,99.194,100,0.21
Płytka rezystor 2,6727.3,10000,0.39
Płytka rezystor 3,221750,1000000,11
